Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission,Price
Volkswagen Ameo [2016-2020] Highline1.2L (P),Volkswagen,Ameo,2016,grey,sedan,81709.00,1st,5,petrol,45,MPI Petrol Engine,1198,5-Speed,Automatic,73.75,110,17.00,BS V,545000.00
Nissan Micra Active [2012-2020] XV Safety Pack,Nissan,Micra Active,2015,silver,hatchback,48656.00,1st,5,petrol,41,3 cylinder petrol engine,1198,5-Speed,Automatic,67,104,19.49,BS V,475000.00
Ford Freestyle [2017-2021] Titanium 1.2,Ford,Freestyle,2019,red,crossover,17504.00,1st,5,petrol,42,1.2 litre Petrol Engine,1298,5-Speed,Automatic,94.93,119,18.50,BS IV,667000.00
Tata Nano [2008-2014] LX,Tata,Nano,2013,blue,hatchback,33744.00,1st,4,petrol,15,"624 cc, 2 cylinder, MPFI",624,4-Speed,Manual,35,48,18.40,BS IV,188000.00
Hyundai Venue SX 1.0  Turbo,Hyundai,Venue,2019,blue,suv,18398.00,2nd,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,6-Speed,Manual,118.35,171.6,18.27,BS IV,907000.00
Volkswagen Ameo [2016-2020] Highline1.2L (P),Volkswagen,Ameo,2017,brown,sedan,41757.00,1st,5,petrol,45,MPI Petrol Engine,1198,5-Speed,Automatic,73.75,110,17.00,BS V,619000.00
Hyundai i20 Active [2015-2020] 1.4 SX,Hyundai,i20 Active,2015,red,crossover,41086.00,1st,5,diesel,45,1.4 U II 6 Speed Manual Transmission,1396,6-Speed,Automatic,89,220,21.19,BS V,748000.00
Maruti Suzuki Baleno [2019-2022] Delta Petrol,Maruti Suzuki,Baleno,2019,silver,hatchback,25418.00,1st,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113,21.01,BS V,731000.00
Maruti Suzuki Alto K10 [2014-2019] VXi,Maruti Suzuki,Alto K10,2018,red,hatchback,23606.00,1st,5,petrol,35,K10B,998,5-Speed,Manual,67,90,24.07,BS V,395000.00
Renault Triber RXZ,Renault,Triber,2020,red,muv,18798.00,1st,7,petrol,40,1.0L Petrol Engine,999,5-Speed,Manual,71,96,20.00,BS IV,758000.00
Maruti Suzuki S-Presso VXI+,Maruti Suzuki,S-Presso,2019,orange,hatchback,24105.00,1st,5,petrol,27,K10B Petrol Engine,998,5-Speed,Manual,67,90,21.01,BS IV,495000.00
Volkswagen Polo [2018-2022] Comfortline 1.0L (P),Volkswagen,Polo,2018,silver,hatchback,26394.00,1st,5,petrol,45,1.0L MPI Petrol,999,5-Speed,Manual,75.01,95,17.74,BS IV,699000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,silver,sedan,22538.00,2nd,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,4-Speed,Manual,81.86,113.75,20.14,BS V,651000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,silver,sedan,22538.00,2nd,5,petrol,43,1.2L Kappa Dual VTVT Petr,1596,4-Speed,Manual,81.86,113.75,20.14,BS V,651000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,silver,sedan,22538.00,2nd,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,4-Speed,Manual,81.86,113.75,20.14,BS V,651000.00
Hyundai Xcent [2017-2019] S AT Petrol,Hyundai,Xcent,2017,silver,sedan,22538.00,2nd,5,petrol,43,1.2L Kappa Dual VTVT Petr,1197,4-Speed,Manual,81.86,113.75,20.14,BS V,651000.00
Hyundai Santro Xing [2007-2014] GLS,Hyundai,Santro Xing,2012,red,hatchback,34060.00,1st,5,petrol,35,Petrol Engine,1086,5-Speed,Manual,62.1,96.1,17.92,BS IV,332000.00
Hyundai i20 [2008-2012] Magna 1.2,Hyundai,i20,2011,white,hatchback,46251.00,2nd,5,petrol,45,In-Line Engine,1197,5-Speed,Manual,80,112,18.50,BS IV,371000.00
Ford Freestyle [2017-2021] Titanium 1.2,Ford,Freestyle,2020,red,crossover,6886.00,1st,5,petrol,42,1.2 litre Petrol Engine,1298,5-Speed,Automatic,94.93,119,18.50,BS IV,753000.00
Hyundai Venue [2019-2021] SX 1.0 (O) Turbo,Hyundai,Venue,2020,white,suv,26020.00,1st,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,1798,6-Speed,Manual,118.35,171.6,18.27,BS V,1117000.00
Hyundai Eon [2011-2018] Era +,Hyundai,Eon,2013,white,hatchback,33440.00,1st,5,petrol,32,Petrol Engine,814,5-Speed,Manual,55.2,74.5,21.10,BS IV,305000.00
Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT,Ford,EcoSport,2019,grey,suv,11800.00,1st,5,petrol,52,Ti-VCT Petrol Engine,1496,5-Speed,Automatic,120.69,149,15.90,BS IV,945000.00
MG Motors Hector 1.5 Sharp DCT AT,MG Motors,Hector,2019,white,suv,7339.00,1st,5,petrol,60,FWD,1451,6-Speed,Automatic,141,250,13.96,BS IV,1799000.00
Maruti Suzuki Baleno [2015-2019] Alpha Petrol,Maruti Suzuki,Baleno,2017,orange,hatchback,41465.00,2nd,5,petrol,37,1.2L VVT Engine,1197,5-Speed,Manual,81.8,113,21.01,BS V,681000.00
Maruti Suzuki Ertiga [2012-2015] ZXi,Maruti Suzuki,Ertiga,2013,grey,muv,67020.00,1st,7,petrol,45,K-Series Petrol Engine with VVT,1373,5-Speed,Manual,93.7,130,16.02,BS III,694000.00
Maruti Suzuki Omni [2011-2019] E 8 STR BS-IV,Maruti Suzuki,Omni,2014,white,muv,23885.00,1st,8,petrol,36,"4 stroke cycle, Water cooled",796,4-Speed,Manual,34,59,16.80,BS V,328000.00
Tata Harrier XZ,Tata,Harrier,2019,orange,suv,62300.00,1st,5,diesel,50,Kryotec 2.0 L Turbocharge,1956,6-Speed,Manual,138,350,17.00,BS IV,1685000.00
Renault Scala [2012-2018] RxZ Diesel,Renault,Scala,2014,black,sedan,34080.00,1st,5,diesel,41,Renault K9K Diesel engine,1461,5-Speed,Manual,85,200,21.64,BS IV,627000.00
Ford EcoSport [2017-2020] Titanium + 1.5L Ti-VCT AT,Ford,EcoSport,2018,white,suv,78061.00,1st,5,petrol,52,Ti-VCT Petrol Engine,1496,6-Speed,Automatic,120.69,149,14.70,BS V,935000.00
Maruti Suzuki Vitara Brezza [2016-2020] ZDi,Maruti Suzuki,Vitara Brezza,2017,white,suv,28476.00,1st,5,diesel,48,Front Wheel Drive,1248,5-Speed,Automatic,89,200,24.30,BS V,910000.00
Maruti Suzuki Vitara Brezza [2016-2020] VDi (O),Maruti Suzuki,Vitara Brezza,2016,white,suv,38729.00,1st,5,diesel,48,Front Wheel Drive,1248,5-Speed,Automatic,89,200,24.30,BS V,810000.00
Maruti Suzuki Ignis [2017-2020] Alpha MT Petrol,Maruti Suzuki,Ignis,2017,blue,hatchback,26203.00,1st,5,petrol,32,1.2-Litre VVT Petrol Engine,1197,5-Speed,Automatic,81.8,113,20.89,BS V,650000.00
Tata Nexon [2017-2020] XZ Plus Diesel,Tata,Nexon,2018,red,suv,35730.00,1st,5,diesel,44,1.5L Revotorq Turbocharged,1497,6-Speed,Automatic,108.5,260,21.05,BS V,954000.00
